frame_number,x_center,y_center,x_size,y_size
422,643.0,209.0,68,92
423,638.5,194.5,67,93
424,631.5,177.0,67,92
425,629.0,174.5,68,91
426,632.0,177.0,68,90
427,629.0,186.5,68,87
428,630.0,207.5,66,89
429,623.5,222.5,65,89
430,619.5,230.5,65,91
431,615.5,241.5,65,91
432,613.0,268.0,66,88
433,608.0,283.5,68,85
434,602.5,301.0,69,84
435,600.5,298.0,69,84
436,594.5,366.5,67,87
437,590.0,401.5,66,89
438,594.0,430.0,64,90
439,603.0,453.5,72,81
440,601.0,456.5,74,79
441,601.0,428.0,68,84
442,596.0,387.0,64,90
443,594.0,358.5,62,91
444,582.0,316.5,64,91
445,577.5,294.0,61,96
446,580.0,288.0,60,96
447,581.5,244.5,59,97
448,577.5,225.5,63,93
449,532.0,233.0,58,98
450,534.0,231.5,58,99
451,533.5,226.5,57,99
452,577.0,189.0,60,94
453,585.5,178.0,59,94
454,591.0,164.5,58,93
455,596.0,162.5,58,93
456,601.0,165.0,58,94
457,603.0,168.0,58,94
458,611.0,171.5,58,93
459,617.0,171.5,60,89
460,624.0,174.5,62,85
461,628.0,177.0,62,84
462,633.5,182.5,63,81
463,641.5,195.0,65,78
464,655.5,210.5,65,79
465,670.0,237.0,66,78
466,687.5,262.5,65,79
467,687.5,270.0,65,78
468,692.0,316.5,66,79
469,687.5,324.5,67,79
470,691.5,387.0,65,76
471,693.5,418.5,63,81
472,693.0,461.0,60,86
473,689.0,459.5,58,95
474,691.0,421.5,58,95
475,698.0,386.5,60,91
476,702.0,359.0,62,86
477,710.5,343.5,61,87
478,715.5,330.5,61,87
479,738.0,300.5,62,85
480,746.5,289.5,61,87
481,755.0,270.0,66,84
482,764.0,261.5,68,79
483,777.5,252.5,71,75
484,792.0,253.0,72,72
485,807.5,256.5,73,71
486,821.0,257.0,74,70
487,829.0,258.5,74,69
488,826.5,250.0,77,66
489,836.5,251.5,75,65
490,840.0,248.5,74,65
491,841.0,249.0,70,64
492,842.0,253.0,70,64
493,845.5,277.5,69,65
494,838.5,291.5,71,63
495,860.0,311.5,70,63
496,851.0,353.0,68,62
497,854.0,375.5,64,71
498,859.0,417.0,60,80
499,869.5,440.0,61,80
500,874.0,445.0,58,86
501,885.0,407.5,62,79
502,895.0,388.5,64,75
503,902.5,375.5,65,77
504,916.0,364.5,66,75
505,954.0,360.0,70,72
506,961.0,357.5,74,69
507,934.5,343.0,73,70
508,930.0,347.0,72,70
509,935.0,348.0,72,70
510,924.5,317.0,73,70
511,919.5,326.0,73,70
512,925.0,337.0,74,72
513,920.0,328.0,74,74
514,915.5,328.5,75,75
515,908.0,330.0,74,74
516,905.0,337.0,74,74
517,894.5,341.5,75,73
518,889.5,349.0,71,78
519,884.5,360.0,65,88
520,878.5,392.0,65,86
521,874.5,424.0,63,88
522,870.5,454.5,63,91
523,870.0,445.0,60,100
524,871.5,413.0,63,90
525,871.5,385.5,63,83
526,872.0,352.0,60,90
527,867.5,341.0,61,88
528,866.0,323.5,64,85
529,865.5,310.0,67,82
530,863.0,304.0,68,78
531,856.0,303.5,68,81
532,856.5,305.5,69,85
533,865.0,297.5,64,91
534,855.0,270.0,64,92
535,858.5,268.5,63,93
536,855.0,264.0,62,94
537,863.0,258.0,62,94
538,848.5,316.5,61,95
539,850.0,322.5,60,97
540,853.5,318.5,61,95
541,863.0,307.5,60,95
542,865.5,314.0,59,96
543,860.0,337.0,58,96
544,864.0,341.0,58,96
545,865.5,392.0,57,96
546,867.0,417.0,54,100
547,873.5,400.5,49,109
548,873.0,366.5,52,101
549,885.0,320.5,54,99
550,890.0,299.5,54,99
551,897.0,295.5,54,99
552,898.5,260.5,55,99
553,905.0,263.5,54,99
554,908.0,251.0,56,96
555,909.5,242.0,57,94
556,914.5,229.5,59,91
557,916.5,201.5,67,81
558,920.5,200.0,69,78
559,921.5,193.0,73,74
560,924.5,193.0,77,70
561,927.0,194.0,80,70
562,940.0,203.0,78,72
563,937.0,204.0,78,74
564,939.0,204.5,78,75
565,942.0,212.0,78,82
566,942.0,218.0,78,88
567,943.0,227.5,80,93
568,947.0,245.0,80,92
569,958.0,265.5,78,95
570,959.0,274.5,78,95
571,943.5,261.0,79,94
572,937.5,260.0,79,94
573,933.5,261.0,79,94
574,931.5,261.0,79,94
575,929.5,261.0,79,94
576,928.5,261.0,79,94
577,931.5,261.0,79,94
578,932.5,257.0,79,94
579,936.5,264.0,79,94
580,945.0,340.5,76,95
581,933.5,308.5,77,93
582,927.5,306.5,77,93
583,932.5,309.5,77,93
584,919.5,222.0,75,96
585,918.5,221.5,75,97
586,917.0,221.5,74,97
587,916.5,222.5,73,99
588,907.5,213.5,73,99
589,918.5,220.5,71,101
590,920.0,215.5,70,103
591,922.0,210.5,70,103
592,922.5,209.0,69,104
593,923.0,197.5,68,105
594,924.5,211.0,67,106
595,926.0,212.5,66,109
596,918.5,205.0,65,110
597,930.0,214.5,64,111
598,934.0,218.5,64,111
599,947.0,221.5,64,111
600,958.5,233.0,63,112
601,959.5,236.0,63,114
602,960.0,237.5,62,115
603,960.5,238.5,61,117
604,961.5,237.0,61,118
605,962.0,238.5,60,119
606,961.0,235.5,60,119
607,962.5,289.5,59,121
608,965.0,276.5,60,119
609,968.0,272.0,60,120
610,967.0,236.5,60,121
611,967.0,228.0,60,120
612,969.5,230.5,61,119
613,971.5,229.0,63,116
614,975.5,239.0,67,112
615,982.0,237.5,76,101
616,973.0,227.0,84,92
617,964.5,227.5,87,89
618,957.5,229.5,87,89
619,938.0,235.0,86,92
620,910.0,244.5,84,97
621,894.5,255.5,85,99
622,884.0,260.0,84,102
623,889.0,277.0,84,102
624,895.5,308.0,83,104
625,894.5,323.0,83,104
626,892.5,326.0,83,104
627,890.5,327.0,83,104
628,881.5,329.0,83,104
629,874.5,333.0,83,104
630,875.0,431.0,78,110
631,853.0,442.5,78,111
632,842.5,444.0,77,112
633,834.5,449.5,75,115
634,836.0,456.0,74,116
635,835.0,460.0,74,116
636,828.5,467.5,73,117
637,830.0,467.0,72,118
638,831.0,470.5,72,119
639,823.5,471.5,71,119
640,824.5,475.0,71,120
641,817.5,478.0,71,120
642,809.0,482.5,70,121
643,801.0,481.5,70,121
644,804.0,481.5,70,121
645,802.0,484.0,70,122
646,798.0,485.0,70,122
647,789.5,489.5,69,123
648,779.0,496.0,68,124
649,770.5,491.5,67,127
650,770.5,490.5,65,129
651,761.0,493.0,64,130
652,754.0,495.5,64,131
653,756.0,507.0,62,132
654,759.0,520.0,58,138
655,764.0,516.0,56,140
656,778.5,509.0,55,142
657,769.0,514.0,54,142
658,778.0,508.5,54,143
659,778.0,476.5,54,143
660,784.0,408.5,56,139
661,794.5,409.5,57,137
662,819.0,407.0,58,136
663,810.0,318.5,68,123
664,815.0,303.5,72,119
665,814.5,282.0,73,118
666,818.5,239.5,75,111
667,809.5,220.5,79,107
668,811.5,217.5,79,107
669,823.5,179.0,81,104
670,829.5,164.0,87,96
671,829.5,148.5,87,95
672,833.0,138.5,86,95
673,839.0,143.5,86,95
674,841.5,143.0,85,94
675,845.0,142.0,84,94
676,845.5,143.0,83,94
677,847.0,139.0,82,92
678,850.0,134.5,82,91
679,845.0,139.5,82,89
680,842.5,147.0,87,80
681,838.0,154.0,96,72
682,845.5,177.0,101,68
683,866.5,197.5,97,71
684,871.0,236.5,84,83
685,875.5,269.0,75,92
686,877.5,303.5,71,95
687,878.0,330.5,72,89
688,878.0,351.0,70,96
689,881.0,392.0,68,100
690,882.5,429.0,67,100
691,873.0,466.5,72,97
692,880.5,473.5,69,99
693,880.0,446.5,72,91
694,880.5,436.5,71,91
695,881.5,427.0,69,92
696,876.0,404.0,70,90
697,869.0,395.5,70,87
698,858.0,389.0,72,84
699,849.0,384.0,72,80
700,838.5,375.5,75,73
701,825.0,372.5,76,69
702,816.0,369.0,76,66
703,810.0,371.5,74,67
704,805.5,377.5,73,67
705,813.0,388.5,74,67
706,800.0,399.0,72,68
707,791.5,417.5,67,75
708,788.0,432.5,66,75
709,784.0,443.0,66,74
710,781.5,467.5,63,79
711,773.0,412.5,62,83
712,769.0,393.0,60,88
713,767.5,381.5,59,91
714,776.5,344.0,61,90
